id,text,label,Comments
7789,@AAlwuhaib1977 Muslim mob violence against Hindus in Bangladesh continues in 2014. #Islam http://t.co/C1JBWJwuRc,racism,
7790,@Te4m_NiGhtM4Re http://t.co/5Ih7MkDbQG,normal,
7791,@jncatron @isra_jourisra @AMPalestine Islamophobia is like the idea of Naziphobia. Islam is a religion of hate and it must be outlawed.,racism,
7792,"Finally I'm all caught up, and that sudden death cook off looks like it's gonna be intense #MKR",normal,
7793,@carolinesinders @herecomesfran *hugs*,normal,
7794,"Please, PLEASE start using ""is your discernment blunted by steroids"" to mean ""are you on DRUGS?"" from now on. DEAD",normal,
7795,"@aymannathem As soon as ISIS chased all the minorities out of Mosul, the Sunni Arabs were happy to steal their property.  So fuck them.",racism,
7796,@Ali_Gharib @MaxBlumenthal Glad you like it. http://t.co/3ME3Nrk8xZ,normal,
7797,@HuffPostRelig Islam invaded and conquered 2/3 of Christiandom before any Christian crusades in response. The writer is a liar.,racism,
7798,"@semzyxx Do you approve of your pedophile prophet raping a 9 year old girl, like it says in 7 hadith?",racism,
7799,@watan71969 @geeky_zekey Problem with vile Muslims is that they try to rationalize &amp; excuse the crimes of Islam rather than get rid of them.,racism,
7800,@Ammaawah @jm111t You are following the religion of ignorance with an illiterate prophet and you want to talk about spelling? LOL.,racism,
7801,@hahellyer True. Stoning and beheading were much more to Mohammed's taste.,racism,
7802,@abunaseeha2 Have they told the tribe yet that their daughters would become whores for sexual jihad?,racism,
7803,"@MaDaSaHaTtEr_17 @buttercupashby Furthermore, telling people that they should be tolerant of a wholly intolerant religion is idiotic.",racism,
7804,@ummsuhaym @logicalmind11 Quran 8.12 would be a good example of terrorism. http://t.co/vonYOAtpfk,racism,
7805,"""RT @IAMMGraham: I've been called an Islamophobe for saying Islam needs a theological reformation. Now the head of Egypt agrees:",racism,
7807,@reza_rahman You are basically claiming that a religion that teaches hatred and murder has nothing to do with hatred and murder. Dumb!,racism,
7808,"@GrumpyVancouver I can tell you are well versed in prosodic contours, so I don't need to remind you that women actually have MORE variation",racism,
7809,"@NNdabbour64 I am better. I have no problem with Hinduism, Christianity, Tao, Judaism, Buddhism or atheism. But Islam hates all non-Muslims.",racism,
7810,"@Vandaliser @sajid_fairooz @IsraeliRegime Notice how most of the contributions are from Persians, not Arabs, and are despite Islam.",racism,
7811,@MaxBlumenthal @Ajzionts I think your Muslim friends are raping girls around the world. http://t.co/liSKP9U8Uq,racism,
7812,@RaniaKhalek @MaxBlumenthal @NickKristof Muslim bigots constantly create confrontations and then whine to the world about results.,racism,
7813,"""BITCH NIGGA YOU NEED AN EYE EXAM, AND EYE GLASSES!",racism,
7814,"""SO IS A SKUNK HALF BLACK AND HALF WHITE AND THEY BOTH STINK. WHY DO B L A C K PEOPLE STINK, SO BLIND PEOPLE CAN H A T E\nTHEM TOO. LOL""",racism,
7816,RT @BeepsS: @senna1 @BeepsS: I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.,sexism,
7817,There's some very hate able teams this year #MKR,normal,
7818,"""RT @The_Eccles: """"Everyone underestimated us""""",normal,
7819,"We still do, as well as underestimating the judging #MKR""",normal,
7820,RT @NOTLukeDarcy: did @Channel7 or #MKR actually check if any of these people could cook? #WITB,normal,
